id,评分,评论,时间
_WeCh****65364,5分 超棒,景色很漂亮！要早点进沟，本以为可以先看镜海.谁知公交车中途不下车，一直开到箭竹海下，往后走300米走，坐公交到镜海观景台拍完照，到对面坐公交到诺日朗瀑布，看完坐公交到箭竹海下，围到里面栈道走可以看到箭竹海瀑布，看完走出去坐车到熊猫海观景台，沿着旁边小道可以看熊猫海瀑布，一直走可以看一圈五花海过桥往上走可看到五花海全景.坐公交到珍珠滩，从左边栈道一直走看到珍珠滩瀑布后坐公交到诺日朗中心不下车一直左上到长海观景台，随后一直走栈道下到五彩池，看完坐车到犀牛海下，沿着公路一直往下走到盆景滩可以拍到好看的图片，但围着里面的栈道走也能发现不一样的美。在盆景滩坐车出沟,2016-10-13
PLORY,5分 超棒,今年十一和朋友从成都出发 在携程上提前订好了客车票，因为节假日出游机票紧张所以选择乘车出行，并且在这里多说一句，(九寨黄龙机场距离九寨沟特别远，如果在机场打车到景区也需要二百左右) 在百花潭公园西门上车 晚上七点到达了九寨沟梦幻停车场，值得一提的是，虽然在携程上订票，但是承运方是简途旅行的西行巴士 微信自助选座 途中停靠点很多景点 到了松潘古城不建议大家买门票登城墙，真的是什么都没有 也没必要花冤枉钱，因为路途较远，建议带点儿吃的上车 ，九寨梦幻停车场距离千古情不远，但是距离沟口确实有一段很长的距离，而且当地黑车随意要价，价格也不菲 100左右 如果住在沟口附近建议你购买成都到九寨沟景区的大巴，在九通客运站下车 这样，在沟口或者从牙村的宾馆才会派车去接你 讲真，去九寨沟这样的景点不推荐节假日出游 真的是很堵，而且住宿价格也不便宜，最合适的时间应该是十月10号到十月末，那时候正好是九寨最美的时候，接下来谈谈门票，在携程上的门票可以放心购买，和景区门口卖的价格一样，而且省去了排队买票的程序，当天早上，携程工作人员会在景区售票处的右手边的大屏幕下，给你送票 很方便 ，最后九寨沟昼夜温差特别大，十月中旬高原气候 应该会有雨雪天气，大概10度左右，应该带点保暖的衣服 总之，神奇九寨 名不虚传 值得一去,2016-10-10
Emma_灿喵儿,5分 超棒,九寨沟真是人间仙境，这么称赞一点也不为过！我们一行在携程上预订了门票提前一天在自助机上取了票，一清早7:00便入了园，坐上了景区大巴，在箭竹海下车，一路走栈道走到珍珠滩，再坐车去镜海和诺日朗瀑布，下午游长海和五彩池，大约2点左右我们开始游玩诺日朗瀑布，开始了树正沟之旅。九寨沟的厕所非常值得一提，非常干净卫生环保，是一次性的厕所，上一位用完，马桶会自动将塑料袋卷紧，清洁的塑料袋留给下一位用客，厕所打扫的干干净净，从厕所就能反映出一个景区的管理，给九寨沟一个大大的好评！,2016-10-02
_WeCh****38025,5分 超棒,"""九寨归来不看水""，果然是名不虚传!整个九寨沟景区全长98公里，是喀斯特地貌形成的特有地质景观。主要的景点有:长海，五彩池，上下季节海，原始森林，珍珠摊瀑布，镜海，五花海，火花海，树正瀑布，芦苇海，箭竹海等。每个景点各有特点，随手一拍，就是一副美图，眼睛看到的更是漂亮。人说，一个人一生当中，应该去四次九寨沟:春，夏，秋，冬。每个季节的九寨，各有各的风姿。这里给大家看看金秋季节的九寨，也期待各位来补全春夏冬的美图。",2016-09-27
螢火,5分 超棒,九寨归来不看水！这里的景色真的是美轮美奂。九寨沟有着“人间仙境”的美称！是中国惟一拥有“世界自然遗产”和“世界生物圈保护区”两项国际桂冠的自然风景名胜区。九寨沟因有九个藏族村寨而得名，更以五绝而著称于世。而这五绝分别是：翠海、叠瀑、彩林、雪山和藏羌风情。这里的水或是清澈见底，五光十色；亦或是平静如镜，水天一色。太阳的光芒照耀而下，泛起粼粼波光。瀑布虽然说不上汹涌澎湃，却给人一种犹抱琵琶半遮面的清秀之感，宛若小家碧玉一般给人以视觉和心灵的冲击感受。巍峨的高山穿插着海子的碧蓝点缀，说这里是童话世界，真的一点也不为过，随便的一张照片就给人以亦真亦幻的感觉！必看的五花海可谓是九寨沟的骄傲与典范！真的宛若人间仙境！而芦苇海犹如一条蓝色丝带系在苇海之间。各个景区各有特色！只是最后不得不说，人真是太多了。。。希望对大家有用，也是我写的目的。,2016-09-07
320****946,5分 超棒,我们是10月31日晚上由成都自驾到达九寨沟，将车停好之后由当地藏民带进沟，给160一个人，免门票。住也是住藏民家，就在进沟第一个公交站的地方，名字忘了。全木质房子，藏餐，很热情。然后住宿费包早晚餐每人好像是150，有点久了，忘记了。然后第二天全天游玩，晚上回藏民家。第三天早上随便逛了一下经松潘茂县一路玩回家。很喜欢，以后还会去。,2016-08-29
知乎,5分 超棒,神奇的九寨 人间的天堂 真的是太美了 随便一照处处都是美景 去的时候要赶早 最好在7点之前就出发 因为过了7点半过后人实在是太多了 购票可以在前一天晚上6点过到达售票处买票 这样不用多去人工费20元 那时候沟口的人很少 很容易就购到票了 九寨沟是个值得一去的景点 最好的美景是在秋天的时候 到时候还会来,2016-08-21
阳光,5分 超棒,九寨沟位于四川省阿坝州九寨沟县境内，因沟内有九个藏族村寨坐落在这片高山湖泊群中而得名。钙化彩色池底形成了五彩斑斓的众多海子，以及梯级展现的系列瀑布，构成一个个五彩斑斓的瑶池玉盆，真正是“九寨归来不看水“。九寨沟是旅游热门景区，所以，来这里一定要提前住在这里，早上早点进景区，与旅行社错峰，即保证游玩质量，又保持游玩心情。网上订票还是优惠些，取票也方便。,2016-08-20
_WeCh****43682,5分 超棒,九寨沟风景确实是名不虚传，如梦如幻。提供一下攻略，有些景点需要早晨欣赏，比如静海。但景区的风景车默认到原始森林，等从上面玩下来，就时间过了，而且每个景点都人满为患。建议到五花海下车，延栈道玩到静海，然后从静海停车场直接乘车到长海，从长海往下玩到五彩池，有兴趣可以欣赏上季节海和下季节海，还有藏寨，然后到诺日朗中心用餐休息，然后到原始森林，往下玩到熊猫海，乘车到诺日朗中心，做到沟口的车，一路欣赏诺日朗瀑布，犀牛海，老虎海，一直到沟口。这样玩，即可以欣赏到美景，有又躲开了人流，还节省体力。,2016-08-14
弄潮儿,5分 超棒,早就听说九寨沟的美丽，这次目睹了真实的九寨，感觉比想象中的它更惊艳。我们在树正海下的车，清澈见底的山泉涌来眼帘的那一瞬间，时光仿佛倒退了一千年，因为在没有任何污染的一千年之前才会有如此清澈的山水。我迫不及待的举起了相机，情急之下，镜头拿反了。清澈透明的山涧顺着山谷一往无前向低处畅流，除了滢滢水下可见的游魚和鹅卵石外，那就是水流蜿蜒处击起的排排千堆雪。真是美呆了。我们沿着犀牛海一路向上终于到达海拔3040的最高点长海，这就是沟内的标志性景点：蓝天、白云、雪山、丛林以及蔚蓝色的湖泊。身处其中，如入仙境。,2016-08-12
安小七七,5分 超棒,早上6:20出发10分钟到达景区门口排队买票，7:30进入景区，先坐景区大巴原始森林方向，车内有免费的讲解录音，每到一个地方就有相关讲解，个人觉得不太需要雇佣讲解员，然后从箭竹海站下车往回步行，此时气温特别低，穿羽绒也不为过！宝宝以为夏天去穿个薄外套就够了，结果就在箭竹海下车处80元买了一件熊猫披风！在途中有很多租藏族衣服拍照的摊位，个人建议到五花海处再租，价格可以砍到10元，时间不限。走到诺日朗处正好是中午12:00多，自助餐没有服务站售卖的自热饭好吃，而且人多，时间还是留给参观美景吧，可以自带干粮，泡面就不要带入了，因为热水一路都没有看见有！饭后步行穿过诺日朗购物中心坐车到长海，然后又步行参观了长海和五彩池，15:00在五彩池处搭上车返回出口，结果由于调度问题，车把我们放在了树正民族文化村，里面可以购物，再等待后续大巴把我们送出了景区，值得一提的是景区没有烟味，没有随地的垃圾，厕所的坐垫都是一次性自动更换的！无论管理还是景色都是5A级别的！,2016-08-10
M17****541,5分 超棒,真的很美，美不胜收，大自然的馈赠，给了我们如此的美景，让我们的生活多姿多彩，闲暇时享受这馈赠，感受大自然赋予我们的美，，九寨归来不看水，清澈见底，波光粼粼，此时任何的词语无法形容她的婀娜多姿，我已经黔驴技穷了，总之这辈子不来九寨沟，那就真的是白在世上走一遭,2016-08-09
莱德纳姆尸佼,5分 超棒,真的很美，第二次去了，秋天准备再去一趟。建议7点就进沟，或者安排2天。一定不要只走主干道，很多景需要走栈道慢慢发现。其实昨晚一班车旺季应该7点半都有吧，不行就自己走出去呗。反正你不出去查都要把你查出去，哈哈另外，九寨沟的管理真的超好，不说别的，厕所不仅干净还很方便智能，不用冲水，马桶上的袋子直接自动往下面收紧。一个6人间的女厕就有2个工作人员做引导！则渣哇沟的下沟来的第一家藏民家，深褐色在山脚的土房子都有300年历史了，已经废弃。明黄色的房子也有100年历史了，里面画得超级漂亮，出于宗教尊重不让照相，主人会免费热心介绍藏族统统和历史，就是最后做完神圣的拜佛，直接引你去给钱让喇嘛送几个月经，要脸皮厚些才好意思拒绝。沟外的藏族人说，藏族人一般不会这样，估计有些不太好的成份。,2016-08-09
清风明月,5分 超棒,九寨沟位于四川省阿坝州九寨沟县境内，因沟内有树正寨、荷叶寨、则查洼寨等九个藏族村寨坐落在这片高山湖泊群中而得名。钙化彩色池底形成了五彩斑斓的众多海子，以及梯级展现的系列瀑布，构成一个个五彩斑斓的瑶池玉盆，真正是“九寨归来不看水“。长海、剑岩、诺日朗瀑布、树正、扎如、黑海六大景观，个个精美。九寨沟就像藏在深山中的美人，要细细品味，不适合匆匆到此一游。九寨沟四季都很美，但感觉最美应该是秋季。网上订票还是优惠些，取票也方便。因为是自驾，所以我们在这里玩了两天。感觉秋天应该再来！,2016-08-03
dps小鱼,5分 超棒,九寨归来不看水，果然名不虚传。虽然游客爆多，进门排队时耗尽了耐心，几乎都想转身离开了。但是看到第一个湖时就觉得等待是值得的。从最高的长海到最低的荷叶池，落差一千米，水极尽变化之能事。或为湖泊静如处子，或奔流为瀑布，或潜身低伏隐入沼泽，简直就是“上善若水”的最佳诠释。无论如何变幻，始终清澈纯净，外加山林倒映、池底石质变化、阳光变化，水色变幻如梦，都无法拍出两张一样的照片。值得去三次啊！这次游览是夏天，下次准备换个季节再去,2016-08-02
M12****081,5分 超棒,九寨沟还是值得一去的。目前开发出的三条沟各有美景。我们是16年7月份过来的。进入景区，我们被分配到了渣洼沟长海终点线。长海很大，我们只能看到一端，湖水碧绿，天空蓝蓝的，倒映在湖中，让人流连忘返。步行来到五彩池，一汪清水像山的眼睛，很可爱。 倒车来到日则沟森林公园线，我们主要参观了五花海和珍珠滩瀑布。五花海里的树木头很多，海子边的观景台也很漂亮。珍珠滩瀑布是我认为九寨沟最漂亮的一处瀑布。 下来去了树正沟的诺日朗瀑布、犀牛海、树正瀑布、树正群海和火花海。树正群海芦苇荡边栈桥上拍的照片很美。时间紧，还有好多没美丽的地方没去，以后有机会一定还来…,2016-07-12
,5分 超棒,九寨沟是摄影的天堂，拍照时，需要注意：镜海和犀牛海只有无风时的倒影最美，所以一定要赶在早上人少的时候拍摄。火花海要有阳光的照耀才会拍出很美的片子。五彩池建议在中午有阳光拍摄，比较容易出片儿。五花海的全景照片一定要在公路边的老虎嘴观景台才拍得到。树正瀑布要拍摄全景必须远一些，公路旁栈道上的观景台为最佳，树正群海亦然。 相机都不能记录它的美，太美了，每个季节景色都不一样。,2016-05-21
_M13****9032,5分 超棒,九寨沟真的很美，这是我去过的50个5A景区除了张家界以外最美的自然风景！特别注意事项:1.大门口进去后排队坐区间车（注意看车子玻璃上写区间二字没有，没写区间两字的，都是到左边的长海或者右边的原始森林，车上写有区间车两字的是到各个半路景点下的:如犀牛海，老虎海或者箭竹海下的，这是为了缓解客流而已）2.左线就建议看长海，然后步行到五彩池，看后左区间车到诺日朗中心转右线，右线建议看完原始森林后，坐区间车到箭竹海，（芳草海和天鹅海坐区间车看看就好，如果从原始深林看完后走到最美景点箭竹海有10公里的车程，走路至少需要3-4小时）3.如果是自助游的建议第一晚住景区内，第二天继续游览看景点就没那么赶！4.每天17:00的藏羌晚会有兴趣的可以看看，很有名族特色,2016-05-21
M27****226,5分 超棒,或许在每个人的心里总有那么一个旅游地，而我心中的旅游地却偏偏是九寨沟呢，或许是因为小时候第一眼看到九寨沟的缘故吧，似乎第一眼爱上的东西总会无比深刻。九寨沟的景就是这样，让我看一眼就难以割舍。还是来给大家说说我在九寨沟旅游的一些心得体会吧，也希望能给即将去九寨沟的朋友一些小小的建议吧，不足之处，还请大家谅解啊。第一次去九寨沟，跟团总是不错的选择，在四川中青旅-西部旅游网上报的团，虽然跟团来说时间稍稍有限，但总归是为心里买个安慰吧。前往九寨沟主要有飞机和火车两种交通方式。在选择前往九寨沟的飞机问题上，建议选择大约八、九点以后的飞机吧。因为九黄机场的特性，飞机准点的可能性比较小。我们就是订了早上7点过的飞机，结果一直耽误。选择晚一点的飞机，一方面可以在成都多休息一下，一旦碰到飞机误点，等的时间也少些。一般来说，能够在12点前后到九黄机场就差不多了。这样大约1点前后到黄龙，游玩一遍时间差不多。需要注意的是，非常建议索道上，走下来。如果是反过来的话，那需要注意5点以后就没有下行的索道了。进九寨沟一定要早，虽然比较冷，但是值得的。早晨的九寨沟也是另有一番风景的呢。在九寨沟景区游玩，游览重点还是放在日则沟呢，而且从高到低的游玩顺序一直都是驴友们比较愿意采纳的呢，所以，第一站便是原始森林了。然后顺着原始森林一路向下。沿栈道步行参观剑崖悬泉、芳草海、天鹅海，再到箭竹海、熊猫海，随后欣赏欣赏五花海全景，也可以选择是绕五花海走，可以考虑在五花海一个晒得到太阳的观景台上吃干粮。如果对自己的体力没啥信心的，那大可以乘车到沿途的景点后再下车游玩，玩好后乘车前往下一景点就行。但有体力的朋友还是走栈道呢，毕竟这样才最有意境哦。关于相机使用的aa五号电池，如果不是一直用的充电电池，那一定要买自己熟悉的电池呢。由于我的相机是借来的，处于以防万一的考虑，我自己买了不少aa电池，但，这个相机实在是太费电了，在成都我就把买的电池给用了一半，总之，去到九寨沟，相机的电量一定要充足呢，不然，会错过不好美景呢，但愿我的这篇九寨沟旅游心得体会能为大家提供一点小小的帮助吧。,2016-05-15
浮生若梦,5分 超棒,没想到等过了五一小长假，景区还会有这么多游客，看来九寨沟的魅力真是太大了！虽然人很多，但是景区的管理很严格很完善，走过很多其他景区，相比之下这里是人最多但是最干净的！景色方面不想多说，因为真的很美，几句话是形容不了九寨沟的妖娆。景区里是不可以吸烟的，在中心点餐饮区可以吸烟，如果擅自偷偷抽烟被抓到会被罚款500元哦！景区里面接送游客的大巴车很多，体力好的可以多走走，不好的就多坐车，游九寨沟大概需要一小天的时间，说实话是很累的！,2016-05-04
一个人的旅行0828,5分 超棒,今年十一终于如愿以偿的游览了九寨沟，吼吼~话说，还真有点冷，但是为了看到九寨最美，还是拼啦！根据导游推荐的线路，先来说说箭竹海！据说箭竹七十年长成开花，花很美，但是花期很短，然后开花后箭竹会死去，然后重新生长，导游说，上次箭竹开花是10年，所以我要想看到箭竹海的箭竹开花，需要等到我九十岁的时候撑着拐棍来，哈哈，我想的还挺美，估计是够呛能看到了，有点点遗憾。但是箭竹海的美景也算多多少少时弥补了这一遗憾了。 接下来一路往下就是熊猫海，因为我是自己一个人来参团旅游的，所以走的很随意，虽然导游不推荐步行游览熊猫海，但是我还是一路走下来了，熊猫海的小瀑布是九寨沟里落差最大的瀑布了，没有珍珠滩的雄伟壮阔，却也是另有一番风味了~ 再往下走，就是全世界十大最美丽湖泊里的五花海了，真的是美的移不开眼睛，让我觉得图片和视频都是浮云，亲眼看到了，才会感到美的震惊是怎么回事。因为人太多太紧了，要不然我就不走了，坐在这里等着日落，阳光斜斜的洒在湖面，肯定会美翻的！ 一路往下，就是珍珠滩了，为了重温西游记里那首经典主题曲的经典场景，我在瀑布下被溅湿了棉服，好羡慕大师兄他们可以在瀑布上面走过啊，肯定超级爽的~ 最后在日则沟，一直往下，还有静海等等，都是美不胜收，我觉得我还会再来的，不为了箭竹海的箭竹开花，也要为了坐在五花海旁静静的一起变得更美~~~,2015-12-29
阿拉伯酋长刘邦,4分 满意,觉得九寨沟最起码要玩两天，慢慢走慢慢看,2022-03-02
320****372,5分 超棒,美丽，但淡季栈道没有全开，旺季可以走通,2022-01-01
彭废废VIP,4分 满意,挺不错的地方，这里的景色很美，喜欢。,2022-03-03
LF开心跑世界,5分 超棒,景区非常值得一来，服务也比较人性化。,2022-02-03
岚行天涯,5分 超棒,九寨沟的得名来自于景区内九个藏族寨子（树正寨、则查洼寨、黑角寨、荷叶寨、盘亚寨、亚拉寨、尖盘寨、热西寨、郭都寨），这九个寨子又称为“和药九寨”。由于有九个寨子的藏民世代居住于此，故名为“九寨沟”。,2021-12-03
佛丕府苏秦,5分 超棒,夏天的九寨沟水大清澈不比秋天的景色逊色。 景区的特别大，每个景点都设有观光车站点，买了观光车车票后可以在规定的站点随意上下车。观光车+徒步游览是相对省时省力的游览方式。 地震后五彩池、五花海还是美美的,2021-08-09
M47****3560,5分 超棒,九寨沟的景色果然名不虚传，美的不要不要的！蓝色的湖泊，清澈的湖水，高耸的雪山倒影在水中。想想天堂的美景也莫过于此吧？ 时间充足的话，从上往下一个景点一个景点慢慢的欣赏，慢慢去品味这大自然的巧夺天工。,2021-05-04
erichhh,4分 满意,很好很好很好很皮啊来了来了来了来了,2022-03-23
Eric,5分 超棒,这地方就是美丽的天堂！以后我要去呀,2022-02-17
M43****620,5分 超棒,九寨沟yyds 适合每个季节都来一次,2022-02-08
绅士鹏儿,5分 超棒,冬天的九寨沟也还是那么美，不错呢。,2022-02-07
elsashen0529,5分 超棒,川西九寨沟随拍📷 日晓照肩柔，风语落耳周。 东西多奔走，亦把清心留。 花叶以身落，遍地尽婆娑。 炎炎夏未散，丝丝寒意多。,2021-10-10
M45****608,5分 超棒,非常非常美的地方，希望有机会再去，跟着自己的爱人一起去，喜欢那里的景色，人文，还有美食。 【景色】 【趣味】 【性价比】,2021-09-25
陈五哥,4分 满意,张家界的山，九寨沟的水，太美了。,2022-03-23
今日心情满分甜,4分 满意,一生必去景点，推荐冬季，价低人少,2022-03-05
阿尔瓦尔袁粲,5分 超棒,疫情期间 游客超少 天气晴朗 景色真美,2022-02-24
彭废废VIP,4分 满意,挺不错的地方，这里很漂亮，喜欢。,2022-02-10
胖胖的大熊,5分 超棒,九寨沟还是挺不错的，风景挺好看的,2022-01-05
_WeCh****198792,4分 满意,九寨沟的风景还是本身有可取之处的,2022-01-02
昊玥“lg”-,5分 超棒,绝对值得一看的景点，要安排足时间，一天就够了，基本上所有景点都能看完玩儿够，我们当天早上天有些阴，但到中午就出太阳了，非常晒，半小时就被嗮爆皮了，高反的话还好，没什么反应。,2021-07-04
288****648,4分 满意,景色美丽，感觉很不错，可以再去,2022-02-15
南吉巴札术赤,5分 超棒,完美，九寨归来不看水，名不虚传，海拔最高3000左右，不会有高反，有机会还想每个季节去一次，想看看九寨的四季景色 【性价比】超高的，成都租车自己开过去的,2021-10-30
M46****1010,5分 超棒,第一次看结冰的长海，值得一看,2022-02-04
M46****1010,5分 超棒,第一次看结冰的长海，值得一看,2022-02-04
_m18****6855,5分 超棒,购票方便，景区服务井然有序。,2022-01-05
M47****965,5分 超棒,九寨归来不看水，果然名不虚传，五彩斑斓的海子随着光的变化呈现更丰富的色彩层次，真的是一个童话世界！海子颜色的成因与地质有密切关系，也是科普地理知识的非常不错的旅行推荐！,2021-08-31
158****4825,5分 超棒,风景很好，就是有一点，没有坐着休息的地方，很少，基本上都***阶上休息，可是又影响别人走路，真的建议栈道两边放些坐的凳子，那么多台阶年轻人也会很累别说年纪稍大点的了。后去的人有点心里准备吧。,2021-07-15
M34****1814,5分 超棒,住宿，景色各方面都值得一来,2022-03-29
M55****605,5分 超棒,值得一年四季都去一次的地方,2022-02-06
D18****318,5分 超棒,景色真的很美，冬天估计也美,2022-01-28
k****u,5分 超棒,美是肯定的，贵也是肯定的,2022-03-16
十斗2010,5分 超棒,不错的地点，还会再去玩的,2022-03-10
sumkia,5分 超棒,父母很满意此次出行，很棒,2022-02-14
劬渡,5分 超棒,九寨冬天很美 你值得拥有哈,2022-02-07
M55****605,5分 超棒,值得一年四季去一次的地方,2022-02-06
M13****053,5分 超棒,冬日的九寨沟别有一番风景,2022-02-04
望海,5分 超棒,一年四季都是有诱惑的地方,2022-01-01
M43****3328,5分 超棒,10.15来的，早上山顶雾濛濛，全天也没见太阳，但也感觉非常美了，五天后再来，绝美！,2021-10-16
奥多摩町鬼谷子,5分 超棒,总体值得一去，虽然去的时候不是九寨沟最漂亮的，色彩不够丰富，但是是淡季，人很少，据说当天游客只有一千人左右，所以整体体验还是不错，希望有机会看秋天最漂亮的九寨。整体游览时间七八个小时。,2021-09-05
M35****781,5分 超棒,今天我们去了九寨沟，小高导游很热情一直在介绍沿途风景，一路上很累但一看到九寨沟的风景后，身体的疲惫瞬间就消失了，真的太美太美了，水像被颜料染成蓝色，美的不真实 【性价比】 【趣味】 【景色】,2021-07-28
秋高气和LQF,5分 超棒,很好，风景是一流的棒。,2022-02-27
M50****5518,5分 超棒,非常捧，换一个季节再来,2022-02-11
130****1300,5分 超棒,九寨天堂，没撒好说，美,2022-02-02
传媒大叔,5分 超棒,非常非常好，值得再去。,2022-02-01
a11road,5分 超棒,九寨回来还是可以看水的,2022-01-16
生活与思考,5分 超棒,九寨沟珍珠滩瀑布。 旅行的意义，很重要一点，在于让人思考，我从哪里来，到哪里去。就像这瀑布，告诉人们，没有一种悔过，可以感动时光，让它倒流，双手头脑要承受生命之重。,2021-09-16
乐助集团,5分 超棒,九寨归来不看水，连续下了一周左右大雨，我们来到这里晴天了👍👍👍 建议游玩两天时间比较充裕！第一天游玩Y字上面的两撇，第二天游玩下面的1字。,2021-08-05
M50****7672,5分 超棒,风景太美了，此生必去,2022-02-23
王中王WANG,5分 超棒,风景优美，景色宜人。,2022-02-17
吉吉国王的爸比,5分 超棒,人间仙境，值得一来！,2022-02-17
三宝饭,5分 超棒,环境点赞，服务便利。,2022-02-05
M49****8104,5分 超棒,还不错👍也可以可以,2022-02-05
118****286,5分 超棒,人间仙境，人头涌涌。,2022-01-30
_M13****7667,5分 超棒,漂亮得很，去了才知道,2022-01-06
M11****425,5分 超棒,景色宜人，值得一去。,2022-01-02
寒木轩,4分 满意,期望越大，失望越大。九寨沟的景色还是值得游览，但作为四川的旅游名片，还是希望服务更到位一些。一，观光车必须跟原车，限制了游客时间自由和行程自由，而且导致每个景点人打堆，跟报团一样，影响出行心情，不够人性化。二，就餐环境混乱，餐厅定价偏高，给人感觉一切都是为了金钱。以前听说九寨沟是四川省旅游局直接管理，但现场管理水平来说不像。,2021-08-20
60岁极省自由行,5分 超棒,一条去九寨沟的新线路 通常去九寨沟有八条线路，但是我们走了一条很少有人去九寨沟的线路。兰州—岷县—哈达铺—陇南--九寨沟的新路线。前面部分沿途都有短途铁路线一段段，边玩边自由行一路走来。只是在陇南--九寨沟这段路，长途车（基本沿着修建兰州至九寨的高铁的施工线路，沿江边）绕山而行。,2021-02-17
135****1233,5分 超棒,"在地震前某年秋季曾来过。这次来就是想看雪景，12月中旬了，路上只有少许的融雪，据当地人说前两天下过大雪，这两天有些融化了。在山顶有很多当地（私人），问你要不要请导游，她们可以陪同你一整天，给你介绍让你更了解九寨。我们一行2人，因淡季收200元/次。带着我们走和坐车，还介绍当地风土民俗，感觉非常不错。九寨沟的海子就是有太阳光照射下才更美。我们一早八点半开门就进景区，冬天太阳起得晚。进去看到的海子还是颜色不足。快到中午十一点，阳光摄入水里，实在美。自从地震后，最高海拔的还有几个景点还没修复好，没有开放，其他景点全部正常。感觉国家花费了很多精力去修复九寨沟，让它恢复完美，一路上再次感觉到大自然的震撼和美丽。九寨沟重新修复后，路修得特别好，坐的环保车会根据客流情况对刚刚入门的车队进行线路划分，九寨沟成“Y”字形，环保车会送到其中一边的最高点，所有游客往下走看景点。“Y""字中间是换成点，看完一边再去另外一边。最后才看“Y""字的下面，最后出景区。每看完一个景点就上环保车，再去下一个景点，非常方便而且环保车很多，每辆环保车上都有讲解员，告诉你下站的景点和看完景点怎么坐车，这点非常棒。每个景点外面都有个像公交站的车站，只要在那里等车一会儿就有车来。只有快到“Y""字出口处的两三个景点距离有些远以外，其他的景点路途都是2-5分钟左右车程。 当地人说九寨沟长年营业，1月份是这里最冷的时候，这时候可以看到冰雪童话。到来年3月到4月，即将是春暖花开的时候。9月底和10月是秋季风景，色彩斑斓。10月底有可能会下一次小雪，树叶开始脱落变干枯。11月到12月中旬前都会断断续续的下雪。12月底就会下大雪。可根据自己的喜好和时间来参观。 我从早上八点半进景区，游玩所有景点大概下午三点半左右结束，非常轻松舒服（震后有几个景点没恢复下的游玩时间）。如果景点都开放了，预计需要多花1-1.5个小时左右。现在12月中旬山上天气很冷，带手套、穿羽绒大衣、带帽子和带围巾，手脚还是冰冷冰冷的（不知道是不是我比较怕冷）当时温度接近0度左右。疫情期间景区要求全程带口罩，特别坐车的时候必须带上。口罩都被雾气弄湿了，中途要换口罩。中午自己可以带点吃的上去，或者在景区里面买玉米、水果和方便面等，当然会比外面贵一点点，但不用自己那么辛苦。景区到处都有洗手间，而且很干净，洗手有些地方有暖水",2020-12-09
Viktor_Lee,5分 超棒,其他景点旅游，一般也就拍点照片，有时候怕凑不够。 九寨沟旅游，照片随便一拍就是一两百张。 九寨沟可以说是国内最美和最成熟的景点，从1984年开放到现在，保护得还不错，也有说有些景点不行了。 景区呈Y型，由于地震后，森林公园那里不让上了。九寨沟也是为数不多可以多去几次的景点。光是景区景点就说不完。长海，犀牛海，五彩池，诺日朗瀑布，珍珠滩瀑布，五花海等都不错。 一般先坐车到最高点长海，然后玩下来，在去诺日朗中心，换下一条线路。 一定要去九寨沟，而且还不止一次，下次冬季去看看。,2020-10-25
无语歆梦,5分 超棒,成都自驾到九寨沟，山路崎岖，开车要注意。早上9点进景区，下午6点出来。说一下游玩的感受，九寨之美在于一路一景，细品下各有不同。九寨水清澈见底，浓浓秋色倒影，美不胜收。瀑布阵阵水帘，宛如银河。最精彩之处莫过于五花海，山清水秀，微微秋风为平静的水面带来徐徐涟漪，整片秋色倒映在水面如同精美油画般出彩。,2020-10-06
286****560,5分 超棒,九寨沟，位于四川省阿坝藏族羌族自治州九寨沟县境内，国家5A级景区，世界自然遗产，世界生物圈保护区，被世人誉为“童话世界”，号称“水景之王”，故有“九寨归来不看水”之说。 九寨沟地处青藏高原、川西高原、山地向四川盆地过渡地带，属世界高寒喀斯特地貌，总面积约620km²，约有52%的面积被原始森林所覆盖，诸多珍稀野生动物栖息于此。,2020-08-22
M34****1522,5分 超棒,九寨沟是每个人一生必去的地方，这里的山水景色极其秀丽，清澈见底如翡翠的湖水依偎在青翠欲滴如绿涛的高山之下，山水之景分外和谐动人，给人以一种难得的天堂空灵之感，飞瀑、青山、彩池如梦如幻，美不胜收，真可谓童话世界。 景区虽地处岷山龙门山山区，由成都出发需车行近四百公里的崎岖山路跋山涉水方可抵达，但是基础设施却相当完善，甚至可以与东部发达地区景点相媲美，可见景区对旅游服务质量的重视，此外，无论是导游服务，景区规划和应急处理等方面，九寨沟都极力追求人性化设计与人文关怀，凸显景区全心全意服务游客的价格理念，值得每位游客点赞。 总而言之，作为世界自然遗产地、国家地质公园、国家级重点风景名胜区的九寨沟，正以独特的无与伦比的美景，完备的基建规划和优质贴心的旅游服务吸引每一位游客的到来，着力建设世界级品质的旅游景区，我在这感受到了美景的可人与服务的暖心，也把这样的美推荐给每一位行走旅途的驴友，纵使匆匆而行，也不要错过人间真正的天堂。,2020-08-20
_CFT01****7220513,5分 超棒,都说人间天堂九寨沟，确实很美，在成都工作，十月底带父母来。这段时间枫叶正红，真的不能用美来形容。唯一美中不足的是阴天，要是有阳光会更好了，光线照射水面。各种海子（小湖泊）千型百态，尤其是日则沟的五花海，真的值得一看。照张技术不好见谅。,2016-10-29
